transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_region,customer_risk_level,bank_id,bank_name,bank_region,bank_compliance_score,amount,currency,transaction_date,transaction_location,is_high_risk,is_valid_bank_id,amount_outlier,transaction_count,avg_transaction_amount,max_transaction_amount,amount_deviation,large_transaction,foreign_currency,transaction_hour,weekend_transaction,cross_region,invalid_bank,customer_risk_score,night_transaction
1,734,Marcia Cox,vegascott@gmail.com,859.806.6345x563,West,Low,20,Bank 20,West,0.71,2059.49,USD,2024-07-01,Helentown,1,1,0,3,1510.9499999999998,2355.94,548.54,0,1,0,0,0,0,1,1
2,962,Vanessa Mckenzie,preynolds@carlson.com,764.455.7458x7794,South,Medium,234,Bank 234,North,0.75,4228.66,USD,2024-07-22,West Jasonberg,1,1,0,1,4228.66,4228.66,0.0,0,1,0,0,1,0,2,1
3,143,Mark Taylor,kelly85@weber.net,7073159635,East,Medium,598,Bank 598,South,0.57,9223.78,USD,2024-04-27,Brendanberg,1,1,0,3,8439.966666666667,9480.34,783.8133333333335,0,1,0,1,1,0,2,1
4,760,Kevin Poole,joshuaevans@pitts.com,706-152-3334x773,West,Low,34,Bank 34,North,0.64,3063.09,USD,2024-05-31,Lake Davidville,0,1,0,3,3863.403333333333,6915.24,-800.313333333333,0,1,0,0,1,0,1,1
5,175,Anthony Gonzales,alvarezcheryl@bailey.com,897.398.0669x289,South,Low,562,Bank 562,East,0.81,587.11,USD,2024-09-01,East Katherine,0,1,0,3,2710.7233333333334,4553.08,-2123.6133333333332,0,1,0,1,1,0,1,1
6,252,Sarah Odom,zandrews@hotmail.com,+1-209-288-6101x1602,West,Medium,740,Bank 740,North,0.82,6815.88,USD,2024-04-15,Valerieton,1,1,0,4,4382.2225,6815.88,2433.6575000000003,0,1,0,0,1,0,2,1
7,743,Rachel Johnson,alyssaking@austin-long.biz,001-513-459-0135x9778,South,Medium,95,Bank 95,East,0.62,5402.65,USD,2024-03-12,North Taylorton,0,1,0,1,5402.65,5402.65,0.0,0,1,0,0,1,0,2,1
8,884,Jason Moore,alyssa09@gomez.com,985-015-6256x237,West,Low,779,Bank 779,South,0.75,878.54,USD,2024-10-12,Williamsview,0,1,0,1,878.54,878.54,0.0,0,1,0,1,1,0,1,1
9,54,Roger Allison,ashleyjohnson@dawson.org,001-367-569-8243x395,South,High,268,Bank 268,South,0.65,6794.4,USD,2024-08-04,Smithbury,0,1,0,2,6731.735,6794.4,62.664999999999964,0,1,0,1,0,0,3,1
10,715,Melissa Murray,jenniferroberts@gmail.com,+1-086-269-9513x512,West,Low,1002,Bank 1002,West,0.79,1055.99,USD,2024-03-28,Paulchester,1,1,0,3,4707.13,8229.96,-3651.1400000000003,0,1,0,0,0,0,1,1
11,339,James Hunter,jacksoneric@hotmail.com,001-511-729-3448x1029,North,Medium,902,Bank 902,West,0.76,6276.0,USD,2024-08-29,Freemanview,0,1,0,1,6276.0,6276.0,0.0,0,1,0,0,1,0,2,1
